Airline,Totalflights
American Airlines Inc,698548
Northwest Airlines Inc,507286
American Eagle Airlines Inc,483088
Hawaiian Airlines Inc,48077
Skywest Airlines Inc,463441
Comair Inc,373346
Expressjet Airlines Inc,367703
America West Airlines Inc,195939
Southwest Airlines Co,990404
Atlantic Southeast Airlines,278861
United Air Lines Inc,555812
Continental Air Lines Inc,299329
Independence Air,264955
ATA Airlines ,75533
Alaska Airlines Inc,166992
AirTran Airways Corporation,162556
Delta Air Lines Inc,687638
JetBlue Airways,89833
US Airways Inc,419919
