Airline,Totalflights
Southwest Airlines Co,957145
Aloha Airlines Inc,53798
Delta Air Lines Inc,835236
Alaska Airlines Inc,156447
American Airlines Inc,716985
America West Airlines Inc,209979
United Air Lines Inc,704977
Trans World Airways LLC,244721
US Airways Inc,688748
Continental Air Lines Inc,377281
Northwest Airlines Inc,533045
American Eagle Airlines Inc,489418
