Airline,Totalflights
American Airlines Inc,643597
Atlantic Southeast Airlines,273143
American Eagle Airlines Inc,550088
AirTran Airways Corporation,237641
United Air Lines Inc,500008
Aloha Airlines Inc,35387
Northwest Airlines Inc,432880
Mesa Airlines Inc,304764
US Airways Inc,504844
Southwest Airlines Co,1099321
Alaska Airlines Inc,159403
Delta Air Lines Inc,506086
ATA Airlines,19602
JetBlue Airways,155732
Continental Air Lines Inc,309389
Frontier Airlines Inc,90180
Comair Inc,278099
Hawaiian Airlines Inc,52173
Expressjet Airlines Inc,441470
Skywest Airlines Inc,548108
