Airline,Totalflights
American Airlines Inc,633857
Aloha Airlines Inc,46360
Skywest Airlines Inc,597882
Pinnacle Airlines Inc,258851
American Eagle Airlines Inc,540494
JetBlue Airways,191450
United Air Lines Inc,490002
Hawaiian Airlines Inc,56175
US Airways Inc,485447
Delta Air Lines Inc,475889
Expressjet Airlines Inc,434773
Northwest Airlines Inc,414526
Continental Air Lines Inc,323151
Mesa Airlines Inc,294362
Frontier Airlines Inc,97733
Atlantic Southeast Airlines,286234
AirTran Airways Corporation,263159
Comair Inc,233787
Southwest Airlines Co,1168871
Alaska Airlines Inc,160185
