Airline,Totalflights
Delta Air Lines Inc,914130
Alaska Airlines Inc,156098
Southwest Airlines Co,853683
America West Airlines Inc,209496
United Air Lines Inc,774370
US Airways Inc,714430
American Airlines Inc,692653
Northwest Airlines Inc,537180
Continental Air Lines Inc,400014
Trans World Airways LLC,275830
