Airline,Totalflights
Delta Air Lines Inc,915095
Alaska Airlines Inc,152220
Southwest Airlines Co,815069
Trans World Airways LLC,274073
United Air Lines Inc,748459
US Airways Inc,696030
American Airlines Inc,653919
Continental Air Lines Inc,399273
Northwest Airlines Inc,527512
America West Airlines Inc,203071
