Airline,Totalflights
Delta Air Lines Inc,908029
Alaska Airlines Inc,154171
United Air Lines Inc,776559
Aloha Airlines Inc,11036
Southwest Airlines Co,911699
America West Airlines Inc,219160
US Airways Inc,748624
Trans World Airways LLC,267131
American Airlines Inc,742265
Northwest Airlines Inc,551337
Continental Air Lines Inc,393036
