Airline,Totalflights
AirTran Airways Corporation,261684
American Airlines Inc,604885
Frontier Airlines Inc,95758
American Eagle Airlines Inc,490693
Northwest Airlines Inc,347652
Atlantic Southeast Airlines,280575
Continental Air Lines Inc,298455
Delta Air Lines Inc,451931
Comair Inc,197607
Expressjet Airlines Inc,374510
Skywest Airlines Inc,567159
United Air Lines Inc,449515
Pinnacle Airlines Inc,262208
Hawaiian Airlines Inc,61826
JetBlue Airways,196091
US Airways Inc,453589
Aloha Airlines Inc,7800
Mesa Airlines Inc,254930
Alaska Airlines Inc,151102
Southwest Airlines Co,1201754
