Airline,Totalflights
Southwest Airlines Co,956745
Alaska Airlines Inc,159194
American Airlines Inc,852439
America West Airlines Inc,196111
Delta Air Lines Inc,728758
United Air Lines Inc,587887
Continental Air Lines Inc,325246
Northwest Airlines Inc,513331
US Airways Inc,511664
American Eagle Airlines Inc,439984
