Airline,Totalflights
American Airlines Inc,673569
Atlantic Southeast Airlines,304647
Alaska Airlines Inc,158100
Delta Air Lines Inc,658302
Hawaiian Airlines Inc,48183
AirTran Airways Corporation,195389
American Eagle Airlines Inc,532032
JetBlue Airways,111047
United Air Lines Inc,485918
US Airways Inc,425609
ATA Airlines ,44109
Southwest Airlines Co,1036034
Independence Air,136491
Northwest Airlines Inc,480832
America West Airlines Inc,197853
Continental Air Lines Inc,296661
Comair Inc,381337
Frontier Airlines Inc,53255
Skywest Airlines Inc,517450
Expressjet Airlines Inc,403767
